date,PR5,PR10,PR15,PR20,PR25,PR30,PR35,PR40,PR45,PR50,PR55,PR60,PR65,PR70,PR75,PR80,PR85,PR90,PR95,平均數,眾數,檔數
2009-12-30,97.825,99.56,101.96,103.61999999999999,105.225,107.0,109.55,112.4,115.0,117.9,120.93,124.3,129.225,132.3,138.25,146.8,154.49999999999997,170.4,202.7,132.8108695652174,113.0,207.0
2009-12-31,98.165,99.65,102.0,103.67999999999999,105.17500000000001,107.0,110.36999999999999,112.4,114.205,117.95,120.5,125.0,129.66,132.37,140.22500000000002,148.81,160.0,170.4,205.09999999999997,133.37898550724637,130.0,207.0
2010-01-04,98.045,99.71000000000001,102.225,104.1,106.125,107.92,110.60499999999999,112.41,115.0,118.1,121.41000000000001,128.5,131.59,134.95999999999998,140.22500000000002,149.81,160.0,171.4,206.49999999999994,134.29202898550724,104.0,207.0
2010-01-05,97.92500000000001,99.65,102.525,104.5,106.4625,108.0,110.0,112.55,115.0,117.15,120.4875,127.5,131.15,134.4,140.85,150.0,156.75,171.0,206.75,134.18300970873784,104.0,206.0
2010-01-06,98.0375,99.85,102.6,104.5,106.4625,108.05,110.875,113.4,115.55,117.975,121.9625,127.05,130.27499999999998,134.25,140.475,149.05,156.25,171.0,206.75,134.29635922330098,109.0,206.0
2010-01-07,97.65,99.86,102.45,104.52,106.65,107.96,110.0,112.97,114.925,117.95,120.605,124.94,130.5,135.0,140.55,149.0,156.0,170.8,206.49999999999994,133.98768115942028,107.0,207.0
2010-01-08,98.0,99.755,102.13999999999999,104.53999999999999,106.725,108.0,109.735,112.53999999999999,115.0,117.1,120.0,124.88,130.2975,133.89999999999998,140.025,148.63000000000002,156.0,169.90000000000003,206.2499999999999,133.75841346153845,108.0,208.0
2010-01-11,98.05250000000001,100.00999999999999,102.5,104.53999999999999,106.4875,108.1,110.0,112.58999999999999,115.0,117.1,120.0,125.19999999999999,130.2975,133.86999999999998,140.0,149.05,156.0,169.60000000000002,206.2499999999999,133.92860576923078,110.0,208.0
2010-01-12,98.11749999999999,100.03999999999999,102.85749999999999,104.8,106.725,108.01,110.225,113.0,115.0,118.7,120.84,126.0,129.685,134.0,140.0,150.60000000000002,156.95,169.60000000000002,206.2499999999999,134.2439903846154,108.0,208.0
2010-01-13,97.94,100.16,102.67999999999999,104.72,107.0,108.02,110.9,113.0,114.96000000000001,116.5,120.7,125.63,130.10000000000002,133.02,140.1,150.4,156.0,171.80000000000007,205.99999999999997,134.19928229665072,107.0,209.0
