symbol,name,category,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,A+B+C+D+E,外資+投信
0050,無資料,無資料,9.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,10.0,6.0,,16.0
0051,無資料,無資料,8.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,6.0,6.0,,12.0
0052,無資料,無資料,9.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,5.0,6.0,,11.0
0053,無資料,無資料,8.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,5.0,6.0,,11.0
0055,無資料,無資料,3.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,2.0,6.0,,8.0
0056,無資料,無資料,5.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,10.0,1.0,,11.0
0057,無資料,無資料,9.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,5.0,6.0,,11.0
0061,無資料,無資料,2.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,4.0,6.0,,10.0
006201,無資料,無資料,3.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,4.0,6.0,,10.0
006203,無資料,無資料,8.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,5.0,6.0,,11.0
006204,無資料,無資料,8.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,6.0,6.0,,12.0
006205,無資料,無資料,4.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,10.0,6.0,,16.0
006206,無資料,無資料,4.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,7.0,6.0,,13.0
006207,無資料,無資料,3.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,4.0,6.0,,10.0
006208,無資料,無資料,8.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,6.0,6.0,,12.0
00631L,無資料,無資料,10.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,10.0,6.0,,16.0
00632R,無資料,無資料,1.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,10.0,6.0,,16.0
00633L,無資料,無資料,4.0,無資料,無資料,無資料,,無資料,無資料,無資料,無資料,無資料,,無資料,,無資料,,無資料,,無資料,無資料,2.0,6.0,,8.0
