stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,S+A+B+C+D+E,外資+投信
2528,5.0,9.0,10.0,1.0,2.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,10.0,8.0,6.0,皇普,"['建材營造', '建材營造:建設業']",20.0,14.0
2603,10.0,10.0,10.0,10.0,1.0,4.0,10.0,10.0,10.0,4.0,1.0,8.0,2.0,10.0,10.0,2.0,10.0,3.0,10.0,10.0,10.0,10.0,長榮,"['交通運輸及航運', '交通運輸及航運:貨櫃航運']",19.0,20.0
2066,9.0,2.0,2.0,6.0,5.0,8.0,6.0,5.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,9.0,6.0,8.0,7.0,9.0,6.0,世德,"['電動車輛產業', '電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件', '電機機械', '電機機械:五金元件及零配件', '電機機械:機械設備之沖壓零組件', '電機機械:車用機械傳動設備及零配件']",40.0,15.0
6275,6.0,4.0,,6.0,7.0,4.0,6.0,6.0,6.0,4.0,8.0,5.0,8.0,5.0,5.0,8.0,7.0,8.0,8.0,6.0,1.0,6.0,元山,"['通信網路', '通信網路:其他零組件', '醫療器材', '醫療器材:塑化材料', '電動車輛產業', '電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件', '電機機械', '電機機械:冷凍空調設備及零件', '電機機械:機電系統工程', '電機機械:車用機械傳動設備及零配件', '電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",45.0,7.0
8932,9.0,4.0,,4.0,10.0,10.0,3.0,3.0,3.0,9.0,10.0,10.0,10.0,7.0,7.0,10.0,5.0,1.0,2.0,2.0,2.0,6.0,宏大,"['其他', '其他:其他']",50.0,8.0
9958,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,4.0,10.0,8.0,10.0,7.0,7.0,10.0,8.0,9.0,3.0,8.0,10.0,6.0,世紀鋼,"['建材營造', '建材營造:工程承攬', '風力發電', '風力發電:其他配件', '風力發電:塔架', '風力發電:電纜']",59.0,16.0
8349,7.0,7.0,,9.0,7.0,7.0,9.0,9.0,9.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,7.0,4.0,8.0,9.0,9.0,1.0,恒耀國際,"['鋼鐵', '鋼鐵:螺絲螺帽', '電動車輛產業', '電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件']",30.0,10.0
1436,8.0,5.0,9.0,7.0,10.0,1.0,4.0,7.0,4.0,10.0,1.0,10.0,2.0,7.0,7.0,2.0,4.0,2.0,10.0,10.0,5.0,6.0,華友聯,"['建材營造', '建材營造:建設業']",25.0,11.0
6613,9.0,2.0,10.0,8.0,4.0,9.0,8.0,8.0,8.0,5.0,7.0,8.0,6.0,7.0,7.0,6.0,10.0,6.0,9.0,8.0,9.0,6.0,朋億,"['LED照明產業', 'LED照明產業:生產製程、檢測設備及原物料', '半導體', '半導體:生產製程及檢測設備', '平面顯示器', '平面顯示器:生產製程及檢測設備']",38.0,15.0
2641,3.0,8.0,1.0,4.0,9.0,5.0,4.0,4.0,4.0,9.0,6.0,10.0,7.0,10.0,10.0,3.0,6.0,3.0,10.0,6.0,2.0,6.0,正德,"['交通運輸及航運', '交通運輸及航運:散裝航運']",31.0,8.0
1316,1.0,8.0,9.0,3.0,7.0,10.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,10.0,2.0,6.0,上曜,"['石化及塑橡膠', '石化及塑橡膠:塑膠製品']",13.0,8.0
6469,10.0,6.0,5.0,9.0,8.0,3.0,9.0,9.0,9.0,6.0,7.0,5.0,5.0,4.0,4.0,6.0,8.0,5.0,4.0,9.0,2.0,6.0,大樹,"['製藥', '製藥:藥品代理銷售及通路', '醫療器材', '醫療器材:醫療院所、醫療器材專賣店、藥局等通路', '食品生技', '食品生技:保健食品代理銷售及通路']",41.0,8.0
