stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
1342,9,10,9,9,2,2,9,9,9,9,2,8,2,9,9,9,9,9,10,10,2,5,八貫,"['其他', '其他:其他', '航太週邊', '航太週邊:航空零組件']",24,7
3687,8,6,9,9,6,3,9,9,10,8,5,7,4,8,8,3,9,7,8,2,8,6,歐買尬,"['休閒娛樂', '休閒娛樂:營運發行', '休閒娛樂:線上遊戲業', '休閒娛樂:設計開發', '電子商務', '電子商務:金流串接處理服務']",25,14
3167,10,9,3,7,10,8,7,7,5,2,10,1,3,2,2,7,2,5,3,4,10,5,大量,"['鋼鐵', '鋼鐵:機械設備(如產業機械、精密機械、工具機)', '電機機械', '電機機械:專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等)']",35,15
5450,9,8,6,8,8,3,8,9,8,9,7,7,7,9,9,10,9,10,9,6,10,6,南良,"['紡織', '紡織:成衣及其它家居紡織類品']",42,16
5245,6,6,8,5,3,2,6,6,5,3,2,2,1,2,2,1,2,1,3,6,9,6,智晶,"['平面顯示器', '平面顯示器:面板', '平面顯示器:顯示器模組']",8,15
6616,8,10,9,8,8,9,9,9,9,6,10,7,9,8,8,9,7,2,4,8,2,6,特昇-KY,"['其他', '其他:其他']",38,8
8367,10,10,7,10,9,3,9,10,10,6,9,8,9,8,8,2,7,2,9,6,10,6,建新國際,"['交通運輸及航運', '交通運輸及航運:散裝航運', '交通運輸及航運:貨櫃航運']",31,16
3028,10,10,6,9,8,6,7,9,9,5,2,3,2,3,3,4,3,3,3,9,5,6,增你強,"['半導體', '半導體:IC通路', '電腦及週邊設備', '電腦及週邊設備:隨身碟、記憶卡讀卡機']",19,11
1815,9,10,5,7,9,5,6,6,4,2,2,2,3,3,3,4,3,9,2,10,10,6,富喬,"['印刷電路板', '印刷電路板:玻璃纖維_玻纖布']",27,16
5434,10,10,9,10,6,4,9,10,10,10,6,10,8,10,10,4,9,4,1,9,2,10,崇越,"['LED照明產業', 'LED照明產業:封裝_模組', 'LED照明產業:生產製程、檢測設備及原物料', '半導體', '半導體:化學品', '半導體:生產製程及檢測設備', '太陽能產業', '太陽能產業:太陽能發電設備_系統及系統工程', '太陽能產業:太陽能電池模組', '太陽能產業:材料', '被動元件', '被動元件:電感器', '被動元件:電阻器材料(氧化鋁陶瓷基板、導電漿墨)', '貿易百貨', '貿易百貨:貿易商、代理商、經銷商']",28,12
3016,8,10,3,8,5,5,8,8,8,6,4,6,4,6,6,5,6,7,6,8,2,6,嘉晶,"['半導體', '半導體:晶圓製造']",25,8
8147,10,10,6,10,9,9,8,10,10,9,8,5,7,8,8,8,7,9,5,10,10,5,正淩,"['連接器', '連接器:連接器設計、組裝及製造']",41,15
8466,8,7,5,10,9,9,8,9,8,5,10,6,9,2,2,9,5,2,5,8,9,6,無資料,無資料,39,15
1526,7,8,6,6,2,6,6,6,6,8,2,1,1,2,2,2,2,2,6,9,8,6,日馳,"['電機機械', '電機機械:傳動元件']",9,14
6117,10,6,9,7,8,4,6,8,7,10,10,10,10,10,10,9,10,2,3,3,1,6,迎廣,"['電腦及週邊設備', '電腦及週邊設備:機殼', '電腦及週邊設備:電源供應器']",39,7
4912,8,9,7,9,8,3,8,9,8,6,7,3,10,4,4,10,4,10,3,8,3,6,聯德控股-KY,"['電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",45,9
6125,10,4,8,2,1,1,4,3,4,8,3,2,2,4,4,3,6,6,2,3,9,6,廣運,"['太陽能產業', '太陽能產業:太陽能發電設備_系統及系統工程', '平面顯示器', '平面顯示器:生產製程及檢測設備']",15,15
