date,PR5,PR25,PR50,PR75,PR95,平均數,sharpe,sharpe_MA_20,sharpe_MA_60
2009-12-30,97.825,105.225,117.9,138.25,202.7,132.8108695652174,,,
2009-12-31,98.165,105.17500000000001,117.95,140.22500000000002,205.09999999999997,133.37898550724637,,,
2010-01-04,98.045,106.125,118.1,140.22500000000002,206.49999999999994,134.29202898550724,,,
2010-01-05,97.92500000000001,106.4625,117.15,140.85,206.75,134.18300970873784,,,
2010-01-06,98.0375,106.4625,117.975,140.475,206.75,134.29635922330098,,,
2010-01-07,97.65,106.65,117.95,140.55,206.49999999999994,133.98768115942028,,,
2010-01-08,98.0,106.725,117.1,140.025,206.2499999999999,133.75841346153845,,,
2010-01-11,98.05250000000001,106.4875,117.1,140.0,206.2499999999999,133.92860576923078,,,
2010-01-12,98.11749999999999,106.725,118.7,140.0,206.2499999999999,134.2439903846154,,,
2010-01-13,97.94,107.0,116.5,140.1,205.99999999999997,134.19928229665072,,,
2010-01-14,97.745,107.0,117.80000000000001,140.075,205.74999999999991,134.6414285714286,,,
2010-01-18,98.5475,107.25,119.075,141.16250000000002,210.74999999999991,135.94214285714284,,,
2010-01-19,98.52,107.0625,119.75,144.325,210.74999999999991,136.07380952380953,,,
2010-01-20,98.52,107.3,119.8,142.22500000000002,211.64999999999995,136.18166666666667,,,
2010-01-21,98.2175,106.625,118.8,145.1,212.54999999999998,135.7892857142857,,,
2010-01-22,98.1,106.625,117.35,141.275,212.5,134.99170616113744,,,
2010-01-25,98.0,106.325,115.0,141.525,212.5,134.53578199052131,,,
2010-01-26,97.5,105.0,111.1,140.55,210.5,132.82890995260664,,,
2010-01-27,97.75,104.55,111.0,139.75,210.5,131.63530805687205,,,
2010-01-28,97.76,105.0,111.275,137.8,209.74999999999997,131.4565420560748,,,
2010-01-29,97.97,104.875,111.1,136.6,209.49999999999991,130.83767441860465,,,
2010-02-01,97.755,104.5,111.6,136.575,209.49999999999991,130.51627906976745,,,
2010-02-02,97.5,104.5,111.0,136.6,209.49999999999991,130.11139534883722,,,
2010-02-03,97.63,104.3375,111.0,135.5625,204.74999999999997,126.84789719626168,,,
2010-02-04,97.76,104.7,111.8,135.5625,204.74999999999997,126.91448598130842,,,
2010-02-05,97.19,103.6,109.9,133.0,202.39999999999998,125.2075117370892,,,
2010-02-08,96.6,103.5,109.0,128.35,202.39999999999998,123.8868544600939,,,
2010-02-09,96.86,104.0,110.0,128.4625,202.35,124.21168224299065,,,
2010-02-10,96.94,103.6,110.0,128.05,202.2,124.21958525345623,,,
2010-02-22,96.97,103.8,110.0,128.97500000000002,202.29999999999998,124.6153488372093,,,
2010-02-23,97.07,103.95,110.0,128.825,202.29999999999998,124.79279069767443,,,
2010-02-24,97.0,104.0,110.5,128.375,202.29999999999998,124.98348837209302,,,
2010-02-25,97.0,103.9625,110.35,127.375,204.74999999999997,124.90303738317758,,,
2010-02-26,97.14,103.95,110.5,127.75,204.49999999999991,124.88139534883722,,,
2010-03-01,97.15,104.0,111.0,130.27499999999998,204.25,125.35069444444444,,,
2010-03-02,97.25,104.1,111.0,130.2,203.99999999999994,125.66405529953919,,,
2010-03-03,97.24,104.5,111.5,130.6,203.99999999999994,126.19930875576037,,,
2010-03-04,97.03999999999999,104.5,112.0,131.7,208.99999999999994,126.41797235023041,,,
2010-03-05,97.15,104.5,112.05,132.0125,209.25,126.8625,,,
2010-03-08,97.195,104.525,113.0,133.03750000000002,209.74999999999997,127.60327102803738,,,
2010-03-09,97.4225,104.525,113.0,133.025,209.74999999999997,127.7859813084112,,,
2010-03-10,97.26,104.64999999999999,113.0,132.9875,213.35,127.69369158878504,,,
2010-03-11,97.26,104.8,113.0,134.7375,213.35,128.0271028037383,,,
2010-03-12,97.39,104.9,113.0,133.925,213.35,128.2257009345794,,,
2010-03-15,97.065,105.0,113.0,135.4875,213.35,128.3658878504673,,,
2010-03-16,97.1825,104.8125,113.0,135.3,213.35,128.4303738317757,,,
2010-03-17,97.345,105.0875,113.35,136.97500000000002,213.35,129.18294392523364,,,
2010-03-18,98.6425,105.075,114.5,139.75,214.0,130.35630841121494,,,
2010-03-19,98.53,105.85,115.5,138.575,214.0,131.0642523364486,,,
2010-03-22,99.00999999999999,105.65,115.0,140.05,215.19999999999993,131.72232558139535,,,
2010-03-23,98.92,105.7,115.5,142.825,215.19999999999993,131.93093023255815,,,
2010-03-24,99.16,106.0,115.0,140.0,215.39999999999998,131.69696261682242,,,
2010-03-25,99.385,106.475,115.0,140.0,215.19999999999993,131.6879069767442,,,
2010-03-26,99.37,106.5,115.5,141.05,214.0,132.11302325581394,,,
