,date,融資維持率
0,2007-01-02,
1,2007-01-03,
2,2007-01-04,
3,2007-01-05,
4,2007-01-08,
5,2007-01-09,
6,2007-01-10,
7,2007-01-11,
8,2007-01-12,
9,2007-01-15,
10,2007-01-16,
11,2007-01-17,
12,2007-01-18,
13,2007-01-19,
14,2007-01-22,
15,2007-01-23,
16,2007-01-24,
17,2007-01-25,
18,2007-01-26,
19,2007-01-29,
20,2007-01-30,
21,2007-01-31,
22,2007-02-01,
23,2007-02-02,
24,2007-02-05,
25,2007-02-06,
26,2007-02-07,
27,2007-02-08,
28,2007-02-09,
29,2007-02-12,
30,2007-02-13,
31,2007-02-14,
32,2007-02-26,
33,2007-02-27,
34,2007-03-01,
35,2007-03-02,
36,2007-03-03,
37,2007-03-05,
38,2007-03-06,
39,2007-03-07,
40,2007-03-08,
41,2007-03-09,
42,2007-03-12,
43,2007-03-13,
44,2007-03-14,
45,2007-03-15,
46,2007-03-16,
47,2007-03-19,
48,2007-03-20,
49,2007-03-21,
50,2007-03-22,
51,2007-03-23,
52,2007-03-26,
53,2007-03-27,
54,2007-03-28,
55,2007-03-29,
56,2007-03-30,
57,2007-04-02,
58,2007-04-03,
59,2007-04-04,
60,2007-04-09,
61,2007-04-10,
62,2007-04-11,
63,2007-04-12,
64,2007-04-13,
65,2007-04-14,
66,2007-04-16,
67,2007-04-17,
68,2007-04-18,
69,2007-04-19,
70,2007-04-20,
71,2007-04-23,
72,2007-04-24,
73,2007-04-25,
74,2007-04-26,
75,2007-04-27,
76,2007-04-30,
77,2007-05-02,
78,2007-05-03,
79,2007-05-04,
80,2007-05-07,
81,2007-05-08,
82,2007-05-09,
83,2007-05-10,
84,2007-05-11,
85,2007-05-14,
86,2007-05-15,
87,2007-05-16,
88,2007-05-17,
89,2007-05-18,
90,2007-05-21,
91,2007-05-22,
92,2007-05-23,
93,2007-05-24,
94,2007-05-25,
95,2007-05-28,
96,2007-05-29,
97,2007-05-30,
98,2007-05-31,
99,2007-06-01,
100,2007-06-04,
101,2007-06-05,
102,2007-06-06,
103,2007-06-07,
104,2007-06-08,
105,2007-06-11,
106,2007-06-12,
107,2007-06-13,
